root@ubuntu-s-1vcpu-1gb-tor1-01:~# tcpdump -i eth0 tcp
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
19:19:42.094416 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 261412187:261412295, ack 472347755, win 501, options [nop,nop,TS val 1730238418 ecr 407624490], length 108
19:19:42.300460 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 4244:4864, ack 1, win 501, options [nop,nop,TS val 1730238624 ecr 407624687], length 620
19:19:42.300571 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 4864:5152, ack 1, win 501, options [nop,nop,TS val 1730238625 ecr 407624687], length 288
19:19:42.300692 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 5152:5432, ack 1, win 501, options [nop,nop,TS val 1730238625 ecr 407624687], length 280
19:19:42.315370 IP cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841 > ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 5432, win 6958, options [nop,nop,TS val 407624791 ecr 1730238625], length 0
19:19:42.399819 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 5432:5692, ack 1, win 501, options [nop,nop,TS val 1730238724 ecr 407624791], length 260
19:19:42.399956 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 5692:5972, ack 1, win 501, options [nop,nop,TS val 1730238724 ecr 407624791], length 280
19:19:42.400006 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 5972:6008, ack 1, win 501, options [nop,nop,TS val 1730238724 ecr 407624791], length 36
19:19:42.400086 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 6008:6212, ack 1, win 501, options [nop,nop,TS val 1730238724 ecr 407624791], length 204
19:19:42.400160 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 6212:6248, ack 1, win 501, options [nop,nop,TS val 1730238724 ecr 407624791], length 36
19:19:42.400302 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 6248:6508, ack 1, win 501, options [nop,nop,TS val 1730238724 ecr 407624791], length 260
19:19:42.400417 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 6508:6544, ack 1, win 501, options [nop,nop,TS val 1730238724 ecr 407624791], length 36
19:19:42.400454 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 6544:6796, ack 1, win 501, options [nop,nop,TS val 1730238724 ecr 407624791], length 252
19:19:42.400526 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 6796:6832, ack 1, win 501, options [nop,nop,TS val 1730238725 ecr 407624791], length 36
19:19:42.400606 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 6832:7092, ack 1, win 501, options [nop,nop,TS val 1730238725 ecr 407624791], length 260
19:19:42.400707 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 7092:7128, ack 1, win 501, options [nop,nop,TS val 1730238725 ecr 407624791], length 36
19:19:42.400776 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 7128:7388, ack 1, win 501, options [nop,nop,TS val 1730238725 ecr 407624791], length 260
19:19:42.400853 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 7388:7424, ack 1, win 501, options [nop,nop,TS val 1730238725 ecr 407624791], length 36
19:19:42.400948 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 7424:7720, ack 1, win 501, options [nop,nop,TS val 1730238725 ecr 407624791], length 296
19:19:42.401042 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 7720:7980, ack 1, win 501, options [nop,nop,TS val 1730238725 ecr 407624791], length 260
19:19:42.401233 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 7980:8016, ack 1, win 501, options [nop,nop,TS val 1730238725 ecr 407624791], length 36
19:19:42.401351 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 8016:8304, ack 1, win 501, options [nop,nop,TS val 1730238725 ecr 407624791], length 288
19:19:42.401443 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 8304:8564, ack 1, win 501, options [nop,nop,TS val 1730238725 ecr 407624791], length 260
19:19:42.401529 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 8564:8600, ack 1, win 501, options [nop,nop,TS val 1730238726 ecr 407624791], length 36
19:19:42.401644 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 8600:8896, ack 1, win 501, options [nop,nop,TS val 1730238726 ecr 407624791], length 296
19:19:42.401737 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 8896:9184, ack 1, win 501, options [nop,nop,TS val 1730238726 ecr 407624791], length 288
19:19:42.401868 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 9184:9480, ack 1, win 501, options [nop,nop,TS val 1730238726 ecr 407624791], length 296
19:19:42.401965 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 9480:9740, ack 1, win 501, options [nop,nop,TS val 1730238726 ecr 407624791], length 260
19:19:42.402066 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 9740:9776, ack 1, win 501, options [nop,nop,TS val 1730238726 ecr 407624791], length 36
19:19:42.402108 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 9776:10036, ack 1, win 501, options [nop,nop,TS val 1730238726 ecr 407624791], length 260
19:19:42.402163 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 10036:10072, ack 1, win 501, options [nop,nop,TS val 1730238726 ecr 407624791], length 36
19:19:42.402247 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 10072:10332, ack 1, win 501, options [nop,nop,TS val 1730238726 ecr 407624791], length 260
19:19:42.402312 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 10332:10368, ack 1, win 501, options [nop,nop,TS val 1730238726 ecr 407624791], length 36
19:19:42.402394 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 10368:10628, ack 1, win 501, options [nop,nop,TS val 1730238726 ecr 407624791], length 260
19:19:42.402459 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 10628:10664, ack 1, win 501, options [nop,nop,TS val 1730238726 ecr 407624791], length 36
19:19:42.402540 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 10664:10908, ack 1, win 501, options [nop,nop,TS val 1730238727 ecr 407624791], length 244
19:19:42.418915 IP cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841 > ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 10908, win 6985, options [nop,nop,TS val 407624895 ecr 1730238727], length 0
19:19:42.418997 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 10908:10944, ack 1, win 501, options [nop,nop,TS val 1730238743 ecr 407624895], length 36
19:19:42.436299 IP cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841 > ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 10944, win 7002, options [nop,nop,TS val 407624910 ecr 1730238743], length 0
19:19:42.503822 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 10944:11204, ack 1, win 501, options [nop,nop,TS val 1730238828 ecr 407624910], length 260
19:19:42.503966 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 11204:11500, ack 1, win 501, options [nop,nop,TS val 1730238828 ecr 407624910], length 296
19:19:42.504091 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 11500:11824, ack 1, win 501, options [nop,nop,TS val 1730238828 ecr 407624910], length 324
19:19:42.504233 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 11824:12120, ack 1, win 501, options [nop,nop,TS val 1730238828 ecr 407624910], length 296
19:19:42.504386 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 12120:12408, ack 1, win 501, options [nop,nop,TS val 1730238828 ecr 407624910], length 288
19:19:42.504496 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 12408:12704, ack 1, win 501, options [nop,nop,TS val 1730238828 ecr 407624910], length 296
19:19:42.504608 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 12704:12992, ack 1, win 501, options [nop,nop,TS val 1730238829 ecr 407624910], length 288
19:19:42.504704 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 12992:13252, ack 1, win 501, options [nop,nop,TS val 1730238829 ecr 407624910], length 260
19:19:42.504780 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 13252:13540, ack 1, win 501, options [nop,nop,TS val 1730238829 ecr 407624910], length 288
19:19:42.504925 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 13540:13576, ack 1, win 501, options [nop,nop,TS val 1730238829 ecr 407624910], length 36
19:19:42.504967 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 13576:13836, ack 1, win 501, options [nop,nop,TS val 1730238829 ecr 407624910], length 260
19:19:42.505049 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 13836:13872, ack 1, win 501, options [nop,nop,TS val 1730238829 ecr 407624910], length 36
19:19:42.505237 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 13872:14124, ack 1, win 501, options [nop,nop,TS val 1730238829 ecr 407624910], length 252
19:19:42.505351 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 14124:14420, ack 1, win 501, options [nop,nop,TS val 1730238829 ecr 407624910], length 296
19:19:42.505454 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 14420:14456, ack 1, win 501, options [nop,nop,TS val 1730238829 ecr 407624910], length 36
19:19:42.505494 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 14456:14708, ack 1, win 501, options [nop,nop,TS val 1730238829 ecr 407624910], length 252
19:19:42.505598 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 14708:15004, ack 1, win 501, options [nop,nop,TS val 1730238830 ecr 407624910], length 296
19:19:42.505694 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 15004:15336, ack 1, win 501, options [nop,nop,TS val 1730238830 ecr 407624910], length 332
19:19:42.505872 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 15336:15624, ack 1, win 501, options [nop,nop,TS val 1730238830 ecr 407624910], length 288
19:19:42.505942 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 15624:15920, ack 1, win 501, options [nop,nop,TS val 1730238830 ecr 407624910], length 296
19:19:42.506156 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 15920:16180, ack 1, win 501, options [nop,nop,TS val 1730238830 ecr 407624910], length 260
19:19:42.506270 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 16180:16468, ack 1, win 501, options [nop,nop,TS val 1730238830 ecr 407624910], length 288
19:19:42.506396 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 16468:16504, ack 1, win 501, options [nop,nop,TS val 1730238830 ecr 407624910], length 36
19:19:42.506454 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 16504:16764, ack 1, win 501, options [nop,nop,TS val 1730238830 ecr 407624910], length 260
19:19:42.506575 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 16764:16800, ack 1, win 501, options [nop,nop,TS val 1730238831 ecr 407624910], length 36
19:19:42.506617 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 16800:17060, ack 1, win 501, options [nop,nop,TS val 1730238831 ecr 407624910], length 260
19:19:42.506803 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 17060:17096, ack 1, win 501, options [nop,nop,TS val 1730238831 ecr 407624910], length 36
19:19:42.506831 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 17096:17356, ack 1, win 501, options [nop,nop,TS val 1730238831 ecr 407624910], length 260
19:19:42.506956 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 17356:17688, ack 1, win 501, options [nop,nop,TS val 1730238831 ecr 407624910], length 332
19:19:42.507104 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 17688:17976, ack 1, win 501, options [nop,nop,TS val 1730238831 ecr 407624910], length 288
19:19:42.507178 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 17976:18272, ack 1, win 501, options [nop,nop,TS val 1730238831 ecr 407624910], length 296
19:19:42.507269 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 18272:18568, ack 1, win 501, options [nop,nop,TS val 1730238831 ecr 407624910], length 296
19:19:42.507363 IP ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpe00fc8d403183-cm00fc8d403180.cpe.net.cable.rogers.com.62841: Flags [P.], seq 18568:18864, ack 1, win 501, options [nop,nop,TS val 1730238831 ecr 407624910], length 296
